"easting","northing","npoints","id","date","dist"
274866.766492761,5802527.21974349,72,"Sage","2023-02-20",14.9526195177485
274865.421365793,5802522.53123037,82,"Sage","2023-02-21",119.020271447698
274872.126465024,5802524.80020622,43,"Sage","2023-02-22",22.5732526236699
274874.954995503,5802511.52353464,47,"Sage","2023-02-23",35.9019646259407
274839.482236198,5802517.0583708,79,"Sage","2023-02-23",35.9019646259407
274874.97926886,5802529.71074901,18,"Sage","2023-02-24",32.2449277691615
274843.818112403,5802521.42113533,82,"Sage","2023-02-24",32.2449277691615
274847.61948358,5802497.92909707,28,"Sage","2023-02-25",40.6086737802392
274395.417142158,5801856.15684942,24,"Sage","2023-02-26",20.7919493631573
274392.026668486,5801836.10597333,43,"Sage","2023-02-27",14.4105134096652
274224.82223906,5801808.2900375,47,"Sage","2023-02-28",29.8936134524752
274227.191742509,5801818.24669178,26,"Sage","2023-03-01",34.9841041084912
274255.088624197,5801797.13623152,29,"Sage","2023-03-01",34.9841041084912
274227.448847566,5801805.1000515,57,"Sage","2023-03-02",44.1868612645555
274219.494726403,5801757.35975518,83,"Sage","2023-03-03",27.0024150626886
274197.908541988,5801696.10455384,82,"Sage","2023-03-04",51.4084111526429
274239.461089445,5801726.37352371,18,"Sage","2023-03-04",51.4084111526429
274690.652296583,5802445.28463565,59,"Sage","2023-03-05",25.2900641781262
274420.439833236,5801849.25310232,37,"Sage","2023-03-06",22.6558861101787
274385.103613383,5801848.8724934,25,"Sage","2023-03-07",34.6418586389086
274419.734509685,5801848.00106283,91,"Sage","2023-03-07",34.6418586389086
274426.108693294,5801853.41572762,189,"Sage","2023-03-08",16.0605690007929
274414.389539091,5801868.70874196,44,"Sage","2023-03-09",49.2997656581545
274433.573425943,5801823.29458801,185,"Sage","2023-03-09",49.2997656581545
274310.481567133,5801784.32133082,84,"Sage","2023-03-10",132.979265954936
274427.054631562,5801848.30731228,20,"Sage","2023-03-10",132.979265954936
274229.251690637,5801756.06455695,101,"Sage","2023-03-11",32.6950070320864
274221.483257897,5801753.39493003,154,"Sage","2023-03-12",93.8221567593498
274204.742673509,5801754.36263378,95,"Sage","2023-03-13",17.6622631942081
274219.281499687,5801750.92458591,100,"Sage","2023-03-14",25.0217266799455
274207.359063078,5801750.31463356,70,"Sage","2023-03-15",13.0856372777666
274317.83575395,5801787.33701447,16,"Sage","2023-03-16",110.14800522061
274216.138564633,5801745.0254943,72,"Sage","2023-03-16",110.14800522061
274279.486792987,5801762.80541391,18,"Sage","2023-03-17",248.961624294402
274041.64328408,5801689.23670017,29,"Sage","2023-03-17",248.961624294402
274362.782197269,5801623.08442823,27,"Sage","2023-03-18",176.403013593324
274319.837437576,5801794.1802225,31,"Sage","2023-03-18",176.403013593324
274202.467660955,5801747.00831695,44,"Sage","2023-03-19",208.624245028552
274876.120102074,5802576.87122041,52,"Sage","2023-03-20",109.46771159343
274211.50539123,5801753.94367977,55,"Sage","2023-03-21",95.3914748383045
274132.763334773,5801723.93587072,53,"Sage","2023-03-22",72.1905007769084
274178.139444803,5801730.08902111,17,"Sage","2023-03-23",37.1012464857558
274209.584051945,5801749.78011485,63,"Sage","2023-03-23",37.1012464857558
274195.834555175,5801748.88509863,36,"Sage","2023-03-24",20.2330558630476
274201.718559826,5801743.06091067,67,"Sage","2023-03-25",22.0163075659982
274186.71682316,5801740.43777259,64,"Sage","2023-03-26",19.0065472099645
274148.53587839,5801713.12908555,24,"Sage","2023-03-27",65.1926800826594
274200.478758231,5801752.52480575,20,"Sage","2023-03-27",65.1926800826594
274202.864382507,5801757.72400672,30,"Sage","2023-03-28",10.8022122843045
274201.689558027,5801743.18240618,50,"Sage","2023-03-29",47.0409500749817
274190.385512456,5801741.44187372,17,"Sage","2023-03-30",46.9789098773953
274169.579875623,5801699.32129147,98,"Sage","2023-03-30",46.9789098773953
274168.247638089,5801700.96042098,121,"Sage","2023-03-31",46.7273342085743
274198.102715698,5801736.90646532,25,"Sage","2023-03-31",46.7273342085743
274132.803196845,5801739.80817898,95,"Sage","2023-04-01",23.7188069198005
274173.042264259,5801700.57563255,41,"Sage","2023-04-02",38.8343335937985
274136.155240316,5801712.71865237,74,"Sage","2023-04-02",38.8343335937985
274122.577422239,5801721.45325473,74,"Sage","2023-04-03",27.2457531076095
274185.801844423,5801734.08314954,92,"Sage","2023-04-04",19.6217553677506
274184.013036093,5801743.9432061,87,"Sage","2023-04-05",93.8866327406275
274228.64153064,5801693.98255414,36,"Sage","2023-04-06",33.2941990813265
274232.579543953,5801727.04304028,24,"Sage","2023-04-06",33.2941990813265
275078.382114911,5802909.85195915,30,"Sage","2023-04-07",14.6109478357227
274219.180738548,5801748.88114318,33,"Sage","2023-04-08",7.87369532361585
274317.126356159,5802638.20349082,29,"Sage","2023-04-09",11.1603013547014
274282.874225863,5802395.50059112,30,"Sage","2023-04-10",22.839268058208
274285.83058268,5802394.92361946,58,"Sage","2023-04-11",81.1274735484661
274236.260301741,5802459.14553326,32,"Sage","2023-04-11",81.1274735484661
274282.843305875,5802399.57850292,33,"Sage","2023-04-12",82.568266011461
274230.52559298,5802463.45631964,17,"Sage","2023-04-12",82.568266011461
274400.706512303,5802489.62851376,40,"Sage","2023-04-13",17.0217534429133
274400.776522451,5802495.84486147,55,"Sage","2023-04-14",22.1159885834875
274302.327130159,5802488.8438633,55,"Sage","2023-04-15",85.4811971671127
274298.788065645,5802485.97980439,51,"Sage","2023-04-16",57.0567963629136
274308.399809276,5802560.32506071,49,"Sage","2023-04-17",42.1822058084059
274288.684856442,5802523.03351848,52,"Sage","2023-04-17",42.1822058084059
274296.124316255,5802480.80949999,86,"Sage","2023-04-18",12.0965408284141
274277.133420621,5802557.31301787,23,"Sage","2023-04-19",75.8846008423455
274296.646871212,5802483.98022922,142,"Sage","2023-04-19",75.8846008423455
274299.189304206,5802491.32550373,105,"Sage","2023-04-20",23.6973377297643
274239.367639168,5802456.52637796,89,"Sage","2023-04-21",62.5677663197967
274292.715076334,5802489.21852273,16,"Sage","2023-04-21",62.5677663197967
274236.887746572,5802445.09272265,44,"Sage","2023-04-22",10.1584754817884
274237.662679358,5802441.1195193,41,"Sage","2023-04-23",17.2875140192506
274295.601334951,5802445.02177143,71,"Sage","2023-04-24",46.0346186037596
274350.378153441,5802517.0622958,75,"Sage","2023-04-25",178.660270230049
274312.284596162,5802474.27303593,31,"Sage","2023-04-26",55.6886879009377
274411.349837309,5802574.1699697,36,"Sage","2023-04-27",50.1593477842728
274398.052924869,5802622.53475326,52,"Sage","2023-04-27",50.1593477842728
274388.798158697,5802623.89002535,59,"Sage","2023-04-28",66.2953674220488
274391.24178457,5802690.14034183,19,"Sage","2023-04-28",66.2953674220488
274382.159682063,5802593.83576294,25,"Sage","2023-04-29",57.7300527875749
274397.672014637,5802649.4426558,55,"Sage","2023-04-29",57.7300527875749
274386.326937826,5802626.28350367,151,"Sage","2023-04-30",254.427746319131
274388.753562565,5802610.41883301,48,"Sage","2023-05-01",82.1111133927632
274308.070641272,5802595.17084448,35,"Sage","2023-05-01",82.1111133927632
274441.431933514,5802600.36786652,48,"Sage","2023-05-02",43.3172196082123
274400.695113141,5802615.09515346,21,"Sage","2023-05-02",43.3172196082123
274266.812348905,5802603.94849159,70,"Sage","2023-05-03",27.1230639342535
274324.086457663,5802622.62503951,52,"Sage","2023-05-04",28.7319423163425
274343.819828959,5802649.10368783,48,"Sage","2023-05-05",42.4884917186995
274313.83459939,5802610.24516904,24,"Sage","2023-05-06",11.5152830419167
274322.770136423,5802624.28509795,20,"Sage","2023-05-07",18.2585698909271
274264.136839498,5802602.18014407,35,"Sage","2023-05-08",26.4227890309562
274309.447706683,5802615.05748017,31,"Sage","2023-05-09",22.3852831095152
274302.537235285,5802611.49510501,42,"Sage","2023-05-10",49.3113634468326
274266.830250485,5802596.57824728,34,"Sage","2023-05-11",14.4161058809834
274264.773430953,5802597.29549726,47,"Sage","2023-05-12",18.5452309674341
274310.785778962,5802617.33137042,51,"Sage","2023-05-13",41.5813251333858
274358.514331812,5802620.14280241,44,"Sage","2023-05-14",36.4440798774545
274288.751647979,5802565.29581682,92,"Sage","2023-05-15",41.8945669923714
274300.195740607,5802605.59702633,29,"Sage","2023-05-15",41.8945669923714
274281.290832766,5802475.31063263,59,"Sage","2023-05-16",39.0971729595421
274266.207536735,5802511.38116235,29,"Sage","2023-05-16",39.0971729595421
274234.880865948,5802498.11401812,41,"Sage","2023-05-17",25.9205923193887
274165.683878181,5802479.61144494,24,"Sage","2023-05-18",20.8071503581086
274151.941399842,5802470.39123105,28,"Sage","2023-05-19",25.1543201383249
274162.345166866,5802472.84668088,48,"Sage","2023-05-20",16.9295472575035
274167.737790727,5802472.82195112,33,"Sage","2023-05-21",25.2131822315047
274162.255572953,5802471.3198386,68,"Sage","2023-05-22",28.3840238466801
274237.568328978,5802463.5022217,35,"Sage","2023-05-23",11.0843966662287
274141.843188433,5802471.13429907,32,"Sage","2023-05-24",77.5260304584193
274103.788104284,5802403.59100948,57,"Sage","2023-05-24",77.5260304584193
274141.319213608,5802417.74250204,22,"Sage","2023-05-25",37.9548443690923
274103.51258359,5802414.39154132,51,"Sage","2023-05-25",37.9548443690923
274129.288972783,5802407.77082614,34,"Sage","2023-05-26",29.4301793830571
274126.70141213,5802429.69422293,37,"Sage","2023-05-27",26.2873268801818
274137.601116981,5802404.25791715,40,"Sage","2023-05-28",29.1862095218882
274171.019122062,5802414.28571238,44,"Sage","2023-05-29",18.9931969231084
274135.615646291,5802407.27126589,24,"Sage","2023-05-30",20.2930167154546
274138.786378752,5802411.22733136,39,"Sage","2023-05-31",60.7183317712381
274197.054974863,5802423.44146329,27,"Sage","2023-06-01",36.8594776183925
274186.683886182,5802433.14778766,42,"Sage","2023-06-02",25.2497053092241
274195.167295751,5802441.73841128,33,"Sage","2023-06-03",16.3407752923006
274327.772944891,5801704.63358097,30,"Sage","2023-06-04",130.013726237859
274300.915706571,5802610.00123938,18,"Sage","2023-06-05",128.828450590662
274515.119312942,5802187.53511529,19,"Sage","2023-06-08",26.6654817519702
274311.264487378,5801784.84610524,34,"Sage","2023-06-09",95.9726539921396
274750.35365932,5802126.89763276,63,"Sofi","2023-06-10",184.930135996304
274573.759711084,5802181.79510671,17,"Sofi","2023-06-10",184.930135996304
274485.698546324,5802191.73835951,36,"Sofi","2023-06-11",12.3261927568158
274475.450185991,5802081.32881858,30,"Sofi","2023-06-12",19.6297834802052
274418.69218313,5802041.36264121,25,"Sofi","2023-06-13",13.8455701225346
274446.935863742,5802039.86620281,17,"Sofi","2023-06-14",63.9636981025776
274496.279780381,5802067.74447445,20,"Sofi","2023-06-16",164.168899171689
274600.96115498,5802308.90747111,21,"Sofi","2023-06-17",74.8566500953922
