"npoints","id","date","distance_previous","longitude","latitude"
83,"Koda",2023-02-12,26.8080501555631,144.439468385365,-37.8969322126886
85,"Koda",2023-02-13,14.3751813234267,144.439341466526,-37.8970137652781
88,"Koda",2023-02-14,17.0257285601596,144.439195805723,-37.8969127920222
79,"Koda",2023-02-15,40.3944454525607,144.439629663286,-37.8970319048588
77,"Koda",2023-02-16,29.6857751045178,144.439364939541,-37.896866093485
76,"Koda",2023-02-17,19.092843332905,144.439445093485,-37.8970259119454
85,"Koda",2023-02-18,7.79989740864632,144.439363187976,-37.897052809899
79,"Koda",2023-02-19,19.0023074676018,144.439568242263,-37.8969990213758
84,"Koda",2023-02-20,3.42474498752287,144.439557211709,-37.8970286052454
80,"Koda",2023-02-21,12.9036134707884,144.439700698913,-37.897004509165
76,"Koda",2023-02-22,10.0194636351662,144.439591257102,-37.8969795328712
76,"Koda",2023-02-23,23.515398088477,144.43937321712,-37.897102054976
78,"Koda",2023-02-24,13.6894855279331,144.439320099638,-37.8969861544717
79,"Koda",2023-02-25,16.0808876503572,144.43941391582,-37.8971104685431
76,"Koda",2023-02-26,817.708502996496,144.433928640273,-37.903056697058
76,"Koda",2023-02-27,7.89854994512094,144.433980239064,-37.9029984725908
74,"Koda",2023-02-28,824.499625459654,144.439570040555,-37.8970373001697
78,"Koda",2023-03-01,825.758844120972,144.434096311681,-37.9030796935671
76,"Koda",2023-03-02,828.910237269455,144.439583025562,-37.8970097494773
81,"Koda",2023-03-03,1002.39602018328,144.432026992673,-37.9037680450709
77,"Koda",2023-03-04,62.5457153575914,144.43177498162,-37.9042948440612
72,"Koda",2023-03-05,1043.14514950154,144.439741558693,-37.8973352116032
84,"Koda",2023-03-06,791.933818542885,144.434225718203,-37.9029726301573
85,"Koda",2023-03-07,808.150347782086,144.439547370233,-37.8970390771372
81,"Koda",2023-03-08,15.9671446842695,144.439692744662,-37.8969529708332
75,"Koda",2023-03-09,825.080288691608,144.434212036209,-37.9029838569985
73,"Koda",2023-03-10,775.28901161623,144.439430552855,-37.8973564257969
72,"Koda",2023-03-11,939.283535112998,144.43227958685,-37.9036391578802
75,"Koda",2023-03-12,24.0598111179581,144.432022501884,-37.9037131247495
78,"Koda",2023-03-13,15.7555005101498,144.431864616159,-37.9037801303358
69,"Koda",2023-03-14,21.2040979260892,144.432075168736,-37.9038731119662
71,"Koda",2023-03-15,19.3207246306209,144.431868217477,-37.9038148262799
73,"Koda",2023-03-16,48.3291351245854,144.432416734072,-37.903790148647
71,"Koda",2023-03-17,54.2899989076371,144.431806752115,-37.9038645278645
70,"Koda",2023-03-18,46.3307659378779,144.43161230744,-37.9042523657411
63,"Koda",2023-03-19,121.236152859176,144.432806109129,-37.9037066896088
70,"Koda",2023-03-20,44.5918827425769,144.433198112096,-37.9034520291568
