"x","y","npoints","id","date"
274678.325937646,5802277.69099634,59,"Freckle",2023-07-18
274519.796199504,5802148.91630334,56,"Freckle",2023-07-19
274673.30807179,5802214.35867032,58,"Freckle",2023-07-20
274603.739783548,5802140.33247078,59,"Freckle",2023-07-21
274667.66022125,5802205.59259898,57,"Freckle",2023-07-22
274697.795109773,5802216.34671465,58,"Freckle",2023-07-23
274679.317829882,5802211.80585482,59,"Freckle",2023-07-24
274675.57156981,5802212.60369122,57,"Freckle",2023-07-25
274684.067434709,5802215.38324321,59,"Freckle",2023-07-26
274712.774299412,5802238.19145875,57,"Freckle",2023-07-27
274670.343961979,5802203.76080956,59,"Freckle",2023-07-28
274685.916589908,5802202.22951944,57,"Freckle",2023-07-29
274650.070049833,5802173.50193097,56,"Freckle",2023-07-30
274682.59548089,5802186.96432054,59,"Freckle",2023-07-31
274691.784504758,5802165.66024452,59,"Freckle",2023-08-01
274684.753878285,5802176.15629231,58,"Freckle",2023-08-02
274680.574790736,5802171.52710709,58,"Freckle",2023-08-03
274392.724194647,5801402.5110195,52,"Dawn",2023-06-11
274506.098806266,5802193.51681813,56,"Dawn",2023-06-12
274521.987353656,5802223.98176219,55,"Dawn",2023-06-13
274570.398762475,5802206.39493891,55,"Dawn",2023-06-14
274518.216994162,5802136.47745669,54,"Dawn",2023-06-15
274580.573319633,5802241.66966658,56,"Dawn",2023-06-16
274624.996184959,5802315.33072964,56,"Dawn",2023-06-17
274659.488487124,5802333.38619847,61,"Dawn",2023-06-18
274599.836357869,5802287.30383724,54,"Dawn",2023-06-19
274555.835568981,5802212.16355526,53,"Dawn",2023-06-20
274478.725070848,5802168.02223888,55,"Dawn",2023-06-21
274511.901757501,5802211.22695546,53,"Dawn",2023-06-22
274474.64716945,5802203.62892166,56,"Dawn",2023-06-23
274498.932682233,5802150.56915406,55,"Dawn",2023-06-24
274428.638218056,5802114.4179246,51,"Dawn",2023-06-25
274533.550981245,5802204.79585962,55,"Dawn",2023-06-26
274565.345667323,5802255.23899103,55,"Dawn",2023-06-27
274515.277721693,5802216.88394798,57,"Dawn",2023-06-28
273883.794101389,5801914.92183591,55,"Dawn",2023-06-29
273887.558609714,5801934.69547913,58,"Dawn",2023-06-30
274561.664112031,5802148.40368307,57,"Dawn",2023-07-01
273899.319173871,5801943.42274914,54,"Dawn",2023-07-02
274581.748837961,5802128.31816439,56,"Dawn",2023-07-03
273894.999322178,5801924.2712429,56,"Dawn",2023-07-04
274415.236736659,5801833.94319244,55,"Dawn",2023-07-05
273874.961484727,5801858.9439566,46,"Dawn",2023-07-06
274655.173749192,5802206.99372328,58,"Dawn",2023-07-07
274674.68317149,5802199.95755352,55,"Dawn",2023-07-08
274665.67215451,5802201.87865362,54,"Dawn",2023-07-09
274665.797213948,5802216.78313289,55,"Dawn",2023-07-10
274700.761345459,5802244.27355987,55,"Dawn",2023-07-11
274678.572294021,5802198.04618517,58,"Dawn",2023-07-12
274671.120184263,5802209.46925675,59,"Dawn",2023-07-13
275034.747361919,5801630.16631745,56,"Dawn",2023-07-14
275060.858089487,5801589.27347687,57,"Dawn",2023-07-15
275065.687233745,5801610.12231832,51,"Dawn",2023-07-16
275049.551974784,5801595.72628573,14,"Dawn",2023-07-17
274695.115721988,5802464.05542577,57,"Loki",2023-06-11
274682.889911062,5802476.04375061,55,"Loki",2023-06-12
274691.655295543,5802444.24124071,57,"Loki",2023-06-13
274690.358701766,5802461.41238878,57,"Loki",2023-06-14
274697.899717856,5802474.50655031,52,"Loki",2023-06-15
274651.453415251,5802306.64845478,57,"Loki",2023-06-16
274611.085914206,5802315.53221025,61,"Loki",2023-06-17
274649.631350779,5802327.63517488,54,"Loki",2023-06-18
274693.670891042,5802457.79125968,55,"Loki",2023-06-19
274521.20245868,5802173.14485283,62,"Loki",2023-06-20
274463.090280257,5802157.44453991,59,"Loki",2023-06-21
274485.400644802,5802204.98392329,56,"Loki",2023-06-22
274510.833010829,5802213.19873487,55,"Loki",2023-06-23
274512.150429464,5802183.76736738,53,"Loki",2023-06-24
274478.270375073,5802200.48728885,57,"Loki",2023-06-25
274519.088805117,5802206.77883064,58,"Loki",2023-06-26
274579.797819763,5802277.48234998,55,"Loki",2023-06-27
274905.43846715,5802537.55385604,57,"Loki",2023-06-28
274679.078251445,5802408.02330873,54,"Loki",2023-06-29
274493.048203498,5801875.66476949,56,"Loki",2023-06-30
274904.340171672,5801261.2322347,55,"Loki",2023-07-01
274897.490471499,5801319.78362023,56,"Loki",2023-07-02
274900.197327699,5801216.54104293,55,"Loki",2023-07-03
274436.076729762,5801858.1864762,56,"Loki",2023-07-04
274417.888832817,5801857.79150736,54,"Loki",2023-07-05
274577.654342862,5802121.12433607,56,"Loki",2023-07-06
274666.244772465,5802216.15938493,53,"Loki",2023-07-07
275029.185535267,5801622.22723875,55,"Loki",2023-07-08
274691.962083031,5802210.26706076,57,"Loki",2023-07-09
275045.238434823,5801624.31943169,53,"Loki",2023-07-10
275021.745788844,5801482.57229495,51,"Loki",2023-07-11
275033.650553486,5801538.74143542,55,"Loki",2023-07-12
275021.454161199,5801525.54117166,57,"Loki",2023-07-13
275033.532959953,5801625.26105852,53,"Loki",2023-07-14
275050.227876445,5801607.78908745,56,"Loki",2023-07-15
275031.750131783,5801491.85697063,58,"Loki",2023-07-16
275117.72628185,5801770.4829475,47,"Loki",2023-07-17
275133.052953671,5801812.74242399,57,"Loki",2023-07-18
275049.101532006,5801600.75302837,62,"Loki",2023-07-19
274989.025821225,5801480.60425132,57,"Loki",2023-07-20
275042.35711356,5801523.52852448,57,"Loki",2023-07-21
274986.795373656,5801389.18450996,64,"Loki",2023-07-22
275000.343929597,5801415.22512722,56,"Loki",2023-07-23
275009.261927532,5801477.85749564,58,"Loki",2023-07-24
275028.131584501,5801474.18377897,60,"Loki",2023-07-25
275023.246850287,5801505.27285184,61,"Loki",2023-07-26
275003.707567649,5801480.77015359,64,"Loki",2023-07-27
275010.6222272,5801478.97721054,68,"Loki",2023-07-28
275007.817992232,5801489.05569402,68,"Loki",2023-07-29
275019.384553799,5801477.49081364,67,"Loki",2023-07-30
275013.200284423,5801474.31648717,63,"Loki",2023-07-31
275057.713244064,5801596.5667092,60,"Loki",2023-08-01
274689.986459458,5802183.34402927,61,"Loki",2023-08-02
274689.410846237,5802155.97946223,65,"Loki",2023-08-03
274390.563452569,5802133.33598201,55,"Avery",2023-06-11
274477.043471689,5802073.85316967,55,"Avery",2023-06-12
274435.360405895,5802052.85147284,53,"Avery",2023-06-13
274458.382265641,5802027.00393161,56,"Avery",2023-06-14
274505.866164067,5802123.14310969,57,"Avery",2023-06-15
274542.279925743,5802230.44823904,57,"Avery",2023-06-16
274614.206862936,5802323.34544888,55,"Avery",2023-06-17
274668.97069089,5802343.71006392,53,"Avery",2023-06-18
274594.583495872,5802275.45230971,53,"Avery",2023-06-19
274534.44736191,5802186.51517977,53,"Avery",2023-06-20
274463.419860111,5802143.15381832,51,"Avery",2023-06-21
274497.837671359,5802199.99984181,57,"Avery",2023-06-22
274388.200403,5802128.67828376,54,"Avery",2023-06-23
274465.949273993,5802209.48737541,56,"Avery",2023-06-24
274426.524951424,5802117.69794343,54,"Avery",2023-06-25
274481.844929631,5802128.21576226,58,"Avery",2023-06-26
