"id","date_bird","state1","state2","state3","state4","total","state1p","state2p","state3p","state4p"
"Aurora","2022-12-12",28,43,10,0,81,0.345679012345679,0.530864197530864,0.123456790123457,0
"Briar","2022-12-12",0,33,0,8,41,0,0.804878048780488,0,0.195121951219512
"Nutmeg","2022-12-12",47,62,0,9,118,0.398305084745763,0.525423728813559,0,0.076271186440678
"Robin","2022-12-12",0,89,3,5,97,0,0.917525773195876,0.0309278350515464,0.0515463917525773
"Aurora","2022-12-13",9,47,9,12,77,0.116883116883117,0.61038961038961,0.116883116883117,0.155844155844156
"Briar","2022-12-13",0,73,0,12,85,0,0.858823529411765,0,0.141176470588235
"Nutmeg","2022-12-13",30,72,0,15,117,0.256410256410256,0.615384615384615,0,0.128205128205128
"Robin","2022-12-13",22,104,7,10,143,0.153846153846154,0.727272727272727,0.048951048951049,0.0699300699300699
"Aurora","2022-12-14",0,76,28,3,107,0,0.710280373831776,0.261682242990654,0.0280373831775701
"Briar","2022-12-14",6,44,18,5,73,0.0821917808219178,0.602739726027397,0.246575342465753,0.0684931506849315
"Iona","2022-12-14",0,0,0,7,7,0,0,0,1
"Koda","2022-12-14",0,44,2,2,48,0,0.916666666666667,0.0416666666666667,0.0416666666666667
"Nutmeg","2022-12-14",190,117,0,5,312,0.608974358974359,0.375,0,0.016025641025641
"Robin","2022-12-14",134,108,0,5,247,0.54251012145749,0.437246963562753,0,0.0202429149797571
"Sage","2022-12-14",50,24,0,8,82,0.609756097560976,0.292682926829268,0,0.0975609756097561
"Aurora","2022-12-15",0,23,4,6,33,0,0.696969696969697,0.121212121212121,0.181818181818182
"Briar","2022-12-15",100,147,0,14,261,0.383141762452107,0.563218390804598,0,0.053639846743295
"Iona","2022-12-15",49,59,3,0,111,0.441441441441441,0.531531531531532,0.027027027027027,0
"Koda","2022-12-15",20,55,4,4,83,0.240963855421687,0.662650602409639,0.0481927710843374,0.0481927710843374
"Nutmeg","2022-12-15",343,50,6,5,404,0.849009900990099,0.123762376237624,0.0148514851485149,0.0123762376237624
"Robin","2022-12-15",199,145,4,2,350,0.568571428571429,0.414285714285714,0.0114285714285714,0.00571428571428571
"Sage","2022-12-15",5,45,0,13,63,0.0793650793650794,0.714285714285714,0,0.206349206349206
"Aurora","2022-12-16",27,56,7,3,93,0.290322580645161,0.602150537634409,0.0752688172043011,0.032258064516129
"Briar","2022-12-16",37,56,11,4,108,0.342592592592593,0.518518518518518,0.101851851851852,0.037037037037037
"Iona","2022-12-16",22,89,4,1,116,0.189655172413793,0.767241379310345,0.0344827586206897,0.00862068965517241
"Koda","2022-12-16",331,14,0,0,345,0.959420289855072,0.0405797101449275,0,0
"Nutmeg","2022-12-16",28,32,0,2,62,0.451612903225806,0.516129032258065,0,0.032258064516129
"Robin","2022-12-16",303,116,0,6,425,0.712941176470588,0.272941176470588,0,0.0141176470588235
"Sage","2022-12-16",109,50,13,2,174,0.626436781609195,0.28735632183908,0.0747126436781609,0.0114942528735632
"Aurora","2022-12-17",63,63,2,13,141,0.446808510638298,0.446808510638298,0.0141843971631206,0.0921985815602837
"Briar","2022-12-17",158,136,21,0,315,0.501587301587302,0.431746031746032,0.0666666666666667,0
"Iona","2022-12-17",39,69,2,0,110,0.354545454545455,0.627272727272727,0.0181818181818182,0
"Koda","2022-12-17",281,52,0,1,334,0.841317365269461,0.155688622754491,0,0.0029940119760479
"Nutmeg","2022-12-17",203,46,3,1,253,0.802371541501976,0.181818181818182,0.0118577075098814,0.00395256916996047
"Robin","2022-12-17",101,192,8,4,305,0.331147540983607,0.629508196721312,0.0262295081967213,0.0131147540983607
"Sage","2022-12-17",261,60,2,6,329,0.793313069908815,0.182370820668693,0.0060790273556231,0.0182370820668693
"Aurora","2022-12-18",0,45,19,10,74,0,0.608108108108108,0.256756756756757,0.135135135135135
"Briar","2022-12-18",26,50,29,2,107,0.242990654205607,0.467289719626168,0.271028037383178,0.0186915887850467
"Iona","2022-12-18",81,29,0,0,110,0.736363636363636,0.263636363636364,0,0
